Brand,Model,Accel_sec,TopSpeed_km,Range_km,Efficiency_wh,FastCharge_km,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro
Tesla ,Model 3 Long Range Dual Motor,4.6,233,450,161,940,Yes,AWD,Type 2 CCS,Sedan,D,5,55480
Volkswagen ,Id.3 Pure,10,160,270,167,250,Yes,RWD,Type 2 CCS,Hatchback,C,5,30000
Polestar ,Lxi2,4.7,210,400,181,620,Yes,AWD,Type 2 CCS,Liftback,D,5,56440
BMW ,Ix3 ,6.8,180,360,206,560,Yes,RWD,Type 2 CCS,SUV,D,5,68040
Honda ,E ,9.5,145,170,168,190,Yes,RWD,Type 2 CCS,Hatchback,B,4,32997
Lucid ,Air ,2.8,250,610,180,620,Yes,AWD,Type 2 CCS,Sedan,F,5,105000
Volkswagen ,E-Golf ,9.6,150,190,168,220,Yes,FWD,Type 2 CCS,Hatchback,C,5,31900
Peugeot ,E-208 ,8.1,150,275,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,29682
Tesla ,Model 3 Standard Range Plus,5.6,225,310,153,650,Yes,RWD,Type 2 CCS,Sedan,D,5,46380
Audi ,Q4 E-Tron ,6.3,180,400,193,540,Yes,AWD,Type 2 CCS,SUV,D,5,55000
Mercedes ,Eqc 400 4Matic,5.1,180,370,216,440,Yes,AWD,Type 2 CCS,SUV,D,5,69484
Nissan ,Leaf ,7.9,144,220,164,230,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,29234
Hyundai ,Kona Electric 64 Kwh,7.9,167,400,160,380,Yes,FWD,Type 2 CCS,SUV,B,5,40795
BMW ,I4 ,4,200,450,178,650,Yes,RWD,Type 2 CCS,Sedan,D,5,65000
Hyundai ,Ioniq Electric,9.7,165,250,153,210,Yes,FWD,Type 2 CCS,Liftback,C,5,34459
Volkswagen ,Id.3 Pro S,7.9,160,440,175,590,Yes,RWD,Type 2 CCS,Hatchback,C,4,40936
Porsche ,Taycan Turbo S,2.8,260,375,223,780,Yes,AWD,Type 2 CCS,Sedan,F,4,180781
Volkswagen ,E-Up! ,11.9,130,195,166,170,Yes,FWD,Type 2 CCS,Hatchback,A,4,21421
MG ,Zs Ev,8.2,140,220,193,260,Yes,FWD,Type 2 CCS,SUV,B,5,30000
Mini ,Cooper Se ,7.3,150,185,156,260,Yes,FWD,Type 2 CCS,Hatchback,B,4,31681
Opel ,Corsa-E ,8.1,150,275,164,420,Yes,FWD,Type 2 CCS,Hatchback,B,5,29146
Tesla ,Model Y Long Range Dual Motor,5.1,217,425,171,930,Yes,AWD,Type 2 CCS,SUV,D,7,58620
Skoda ,Enyaq Iv 50,10,160,290,179,230,Yes,RWD,Type 2 CCS,SUV,C,5,35000
Audi ,E-Tron Gt ,3.5,240,425,197,850,Yes,AWD,Type 2 CCS,Sedan,F,4,125000
Tesla ,Model 3 Long Range Performance,3.4,261,435,167,910,Yes,AWD,Type 2 CCS,Sedan,D,5,61480
Volkswagen ,Id.4 ,7.5,160,420,183,560,Yes,RWD,Type 2 CCS,SUV,C,5,45000
Volkswagen ,Id.3 Pro,9,160,350,166,490,Yes,RWD,Type 2 CCS,Hatchback,C,5,33000
Volvo ,Xc40 P8 Awd Recharge,4.9,180,375,200,470,Yes,AWD,Type 2 CCS,SUV,C,5,60437
BMW ,I3 120 Ah,7.3,150,235,161,270,Yes,RWD,Type 2 CCS,Hatchback,B,4,38017
Peugeot ,E-2008 Suv ,8.5,150,250,180,380,Yes,FWD,Type 2 CCS,SUV,B,5,34361
Audi ,E-Tron 50 Quattro,6.8,190,280,231,450,Yes,AWD,Type 2 CCS,SUV,E,5,67358
Kia ,E-Niro 64 Kwh,7.8,167,370,173,350,Yes,FWD,Type 2 CCS,SUV,C,5,38105
Renault ,Zoe Ze50 R110,11.4,135,315,165,230,Yes,FWD,Type 2 CCS,Hatchback,B,5,31184
Tesla ,Cybertruck Tri Motor,3,210,750,267,710,Yes,AWD,Type 2 CCS,Pickup,N,6,75000
